domain,sheet_type,head,relation,tail,vote
price,Contrary(P)Body(N),no_evident_not_good_value_for_price,CONTRARY_TO,unlabeled_shampoo_dispenser_for_this_price,Yes
price,Contrary(P)Body(N),no_evident_not_good_value_for_price,CONTRARY_TO,shampoo_seem_cheap_considering_hotel_cost,Yes
price,Contrary(P)Body(N),no_evident_not_good_value_for_price,CONTRARY_TO,guesthouse_but_price_like_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_good_value_for_price,CONTRARY_TO,for_money_you_pay_you_get_one_small_water_bottle,Yes
price,Contrary(P)Body(N),no_evident_not_good_value_for_price,CONTRARY_TO,expensive_for_what_you_get,Yes
price,Contrary(P)Body(N),no_evident_not_good_value_for_price,CONTRARY_TO,expensive_rate_for_what_offer,Yes
price,Contrary(P)Body(N),no_evident_not_good_value_for_price,CONTRARY_TO,overpriced_for_facility,Yes
price,Contrary(P)Body(N),no_evident_not_good_value_for_price,CONTRARY_TO,meal_not_include_in_price,Yes
price,Contrary(P)Body(N),no_evident_not_good_value_for_price,CONTRARY_TO,high_price_for_not_enough_comfort_room,Yes
price,Contrary(P)Body(N),no_evident_not_good_value_for_price,CONTRARY_TO,high_price_for_small_room,Yes
price,Contrary(P)Body(N),no_evident_not_good_value_for_price,NOT_CONTRARY,expensive_hotel,No
price,Contrary(P)Body(N),no_evident_not_good_value_for_price,CONTRARY_TO,expensive_for_average_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_good_value_for_price,CONTRARY_TO,expensive_for_3_star_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_undervalue_establishment,CONTRARY_TO,unlabeled_shampoo_dispenser_for_this_price,Yes
price,Contrary(P)Body(N),no_evident_not_undervalue_establishment,CONTRARY_TO,shampoo_seem_cheap_considering_hotel_cost,Yes
price,Contrary(P)Body(N),no_evident_not_undervalue_establishment,CONTRARY_TO,guesthouse_but_price_like_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_undervalue_establishment,CONTRARY_TO,for_money_you_pay_you_get_one_small_water_bottle,Yes
price,Contrary(P)Body(N),no_evident_not_undervalue_establishment,CONTRARY_TO,expensive_for_what_you_get,Yes
price,Contrary(P)Body(N),no_evident_not_undervalue_establishment,CONTRARY_TO,expensive_rate_for_what_offer,Yes
price,Contrary(P)Body(N),no_evident_not_undervalue_establishment,CONTRARY_TO,overpriced_for_facility,Yes
price,Contrary(P)Body(N),no_evident_not_undervalue_establishment,CONTRARY_TO,meal_not_include_in_price,Yes
price,Contrary(P)Body(N),no_evident_not_undervalue_establishment,CONTRARY_TO,high_price_for_not_enough_comfort_room,Yes
price,Contrary(P)Body(N),no_evident_not_undervalue_establishment,CONTRARY_TO,high_price_for_small_room,Yes
price,Contrary(P)Body(N),no_evident_not_undervalue_establishment,CONTRARY_TO,expensive_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_undervalue_establishment,CONTRARY_TO,expensive_for_average_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_undervalue_establishment,CONTRARY_TO,expensive_for_3_star_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_cheap_room,CONTRARY_TO,unlabeled_shampoo_dispenser_for_this_price,Yes
price,Contrary(P)Body(N),no_evident_not_cheap_room,CONTRARY_TO,shampoo_seem_cheap_considering_hotel_cost,Yes
price,Contrary(P)Body(N),no_evident_not_cheap_room,CONTRARY_TO,guesthouse_but_price_like_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_cheap_room,CONTRARY_TO,for_money_you_pay_you_get_one_small_water_bottle,Yes
price,Contrary(P)Body(N),no_evident_not_cheap_room,CONTRARY_TO,expensive_for_what_you_get,Yes
price,Contrary(P)Body(N),no_evident_not_cheap_room,CONTRARY_TO,expensive_rate_for_what_offer,Yes
price,Contrary(P)Body(N),no_evident_not_cheap_room,CONTRARY_TO,overpriced_for_facility,Yes
price,Contrary(P)Body(N),no_evident_not_cheap_room,NOT_CONTRARY,meal_not_include_in_price,No
price,Contrary(P)Body(N),no_evident_not_cheap_room,CONTRARY_TO,high_price_for_not_enough_comfort_room,Yes
price,Contrary(P)Body(N),no_evident_not_cheap_room,CONTRARY_TO,high_price_for_small_room,Yes
price,Contrary(P)Body(N),no_evident_not_cheap_room,CONTRARY_TO,expensive_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_cheap_room,CONTRARY_TO,expensive_for_average_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_cheap_room,CONTRARY_TO,expensive_for_3_star_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_satisfied_price,CONTRARY_TO,unlabeled_shampoo_dispenser_for_this_price,Yes
price,Contrary(P)Body(N),no_evident_not_satisfied_price,CONTRARY_TO,shampoo_seem_cheap_considering_hotel_cost,Yes
price,Contrary(P)Body(N),no_evident_not_satisfied_price,CONTRARY_TO,guesthouse_but_price_like_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_satisfied_price,CONTRARY_TO,for_money_you_pay_you_get_one_small_water_bottle,Yes
price,Contrary(P)Body(N),no_evident_not_satisfied_price,CONTRARY_TO,expensive_for_what_you_get,Yes
price,Contrary(P)Body(N),no_evident_not_satisfied_price,CONTRARY_TO,expensive_rate_for_what_offer,Yes
price,Contrary(P)Body(N),no_evident_not_satisfied_price,CONTRARY_TO,overpriced_for_facility,Yes
price,Contrary(P)Body(N),no_evident_not_satisfied_price,NOT_CONTRARY,meal_not_include_in_price,No
price,Contrary(P)Body(N),no_evident_not_satisfied_price,CONTRARY_TO,high_price_for_not_enough_comfort_room,Yes
price,Contrary(P)Body(N),no_evident_not_satisfied_price,CONTRARY_TO,high_price_for_small_room,Yes
price,Contrary(P)Body(N),no_evident_not_satisfied_price,CONTRARY_TO,expensive_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_satisfied_price,CONTRARY_TO,expensive_for_average_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_satisfied_price,CONTRARY_TO,expensive_for_3_star_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_unbeatable_value_for_money,CONTRARY_TO,unlabeled_shampoo_dispenser_for_this_price,Yes
price,Contrary(P)Body(N),no_evident_not_unbeatable_value_for_money,CONTRARY_TO,shampoo_seem_cheap_considering_hotel_cost,Yes
price,Contrary(P)Body(N),no_evident_not_unbeatable_value_for_money,CONTRARY_TO,guesthouse_but_price_like_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_unbeatable_value_for_money,CONTRARY_TO,for_money_you_pay_you_get_one_small_water_bottle,Yes
price,Contrary(P)Body(N),no_evident_not_unbeatable_value_for_money,CONTRARY_TO,expensive_for_what_you_get,Yes
price,Contrary(P)Body(N),no_evident_not_unbeatable_value_for_money,CONTRARY_TO,expensive_rate_for_what_offer,Yes
price,Contrary(P)Body(N),no_evident_not_unbeatable_value_for_money,CONTRARY_TO,overpriced_for_facility,Yes
price,Contrary(P)Body(N),no_evident_not_unbeatable_value_for_money,CONTRARY_TO,meal_not_include_in_price,Yes
price,Contrary(P)Body(N),no_evident_not_unbeatable_value_for_money,CONTRARY_TO,high_price_for_not_enough_comfort_room,Yes
price,Contrary(P)Body(N),no_evident_not_unbeatable_value_for_money,CONTRARY_TO,high_price_for_small_room,Yes
price,Contrary(P)Body(N),no_evident_not_unbeatable_value_for_money,NOT_CONTRARY,expensive_hotel,No
price,Contrary(P)Body(N),no_evident_not_unbeatable_value_for_money,CONTRARY_TO,expensive_for_average_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_unbeatable_value_for_money,CONTRARY_TO,expensive_for_3_star_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_price,CONTRARY_TO,unlabeled_shampoo_dispenser_for_this_price,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_price,CONTRARY_TO,shampoo_seem_cheap_considering_hotel_cost,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_price,CONTRARY_TO,guesthouse_but_price_like_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_price,CONTRARY_TO,for_money_you_pay_you_get_one_small_water_bottle,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_price,CONTRARY_TO,expensive_for_what_you_get,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_price,CONTRARY_TO,expensive_rate_for_what_offer,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_price,CONTRARY_TO,overpriced_for_facility,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_price,CONTRARY_TO,meal_not_include_in_price,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_price,CONTRARY_TO,high_price_for_not_enough_comfort_room,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_price,CONTRARY_TO,high_price_for_small_room,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_price,CONTRARY_TO,expensive_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_price,CONTRARY_TO,expensive_for_average_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_price,CONTRARY_TO,expensive_for_3_star_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_quality_ratio,CONTRARY_TO,unlabeled_shampoo_dispenser_for_this_price,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_quality_ratio,CONTRARY_TO,shampoo_seem_cheap_considering_hotel_cost,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_quality_ratio,CONTRARY_TO,guesthouse_but_price_like_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_quality_ratio,CONTRARY_TO,for_money_you_pay_you_get_one_small_water_bottle,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_quality_ratio,CONTRARY_TO,expensive_for_what_you_get,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_quality_ratio,CONTRARY_TO,expensive_rate_for_what_offer,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_quality_ratio,CONTRARY_TO,overpriced_for_facility,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_quality_ratio,CONTRARY_TO,meal_not_include_in_price,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_quality_ratio,CONTRARY_TO,high_price_for_not_enough_comfort_room,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_quality_ratio,CONTRARY_TO,high_price_for_small_room,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_quality_ratio,NOT_CONTRARY,expensive_hotel,No
price,Contrary(P)Body(N),no_evident_not_excellent_quality_ratio,CONTRARY_TO,expensive_for_average_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_quality_ratio,CONTRARY_TO,expensive_for_3_star_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_perfect_price_for_what_we_expect,CONTRARY_TO,unlabeled_shampoo_dispenser_for_this_price,Yes
price,Contrary(P)Body(N),no_evident_not_perfect_price_for_what_we_expect,CONTRARY_TO,shampoo_seem_cheap_considering_hotel_cost,Yes
price,Contrary(P)Body(N),no_evident_not_perfect_price_for_what_we_expect,CONTRARY_TO,guesthouse_but_price_like_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_perfect_price_for_what_we_expect,CONTRARY_TO,for_money_you_pay_you_get_one_small_water_bottle,Yes
price,Contrary(P)Body(N),no_evident_not_perfect_price_for_what_we_expect,CONTRARY_TO,expensive_for_what_you_get,Yes
price,Contrary(P)Body(N),no_evident_not_perfect_price_for_what_we_expect,CONTRARY_TO,expensive_rate_for_what_offer,Yes
price,Contrary(P)Body(N),no_evident_not_perfect_price_for_what_we_expect,CONTRARY_TO,overpriced_for_facility,Yes
price,Contrary(P)Body(N),no_evident_not_perfect_price_for_what_we_expect,CONTRARY_TO,meal_not_include_in_price,Yes
price,Contrary(P)Body(N),no_evident_not_perfect_price_for_what_we_expect,CONTRARY_TO,high_price_for_not_enough_comfort_room,Yes
price,Contrary(P)Body(N),no_evident_not_perfect_price_for_what_we_expect,CONTRARY_TO,high_price_for_small_room,Yes
price,Contrary(P)Body(N),no_evident_not_perfect_price_for_what_we_expect,NOT_CONTRARY,expensive_hotel,No
price,Contrary(P)Body(N),no_evident_not_perfect_price_for_what_we_expect,CONTRARY_TO,expensive_for_average_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_perfect_price_for_what_we_expect,CONTRARY_TO,expensive_for_3_star_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_value,CONTRARY_TO,unlabeled_shampoo_dispenser_for_this_price,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_value,CONTRARY_TO,shampoo_seem_cheap_considering_hotel_cost,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_value,CONTRARY_TO,guesthouse_but_price_like_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_value,CONTRARY_TO,for_money_you_pay_you_get_one_small_water_bottle,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_value,CONTRARY_TO,expensive_for_what_you_get,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_value,CONTRARY_TO,expensive_rate_for_what_offer,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_value,CONTRARY_TO,overpriced_for_facility,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_value,CONTRARY_TO,meal_not_include_in_price,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_value,CONTRARY_TO,high_price_for_not_enough_comfort_room,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_value,CONTRARY_TO,high_price_for_small_room,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_value,NOT_CONTRARY,expensive_hotel,No
price,Contrary(P)Body(N),no_evident_not_excellent_value,CONTRARY_TO,expensive_for_average_hotel,Yes
price,Contrary(P)Body(N),no_evident_not_excellent_value,CONTRARY_TO,expensive_for_3_star_hotel,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,great_quality,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,great_price,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,value_for_money,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,good_facility_for_tariff_charge,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,great_value_for_money,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,good_value_for_money,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,exceptional_value,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,good_value,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,reasonable_price,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,NOT_CONTRARY,beautiful_hotel_for_cheap_price,No
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,great_for_price,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,excellent_value_for_money,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,worth_price,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,cheap,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,good_rate_for_excellent_accommodation,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,good_hotel_for_ £50_per_night,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,room_excellent_value_for_money,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,NOT_CONTRARY,location_excellent_value_for_money,No
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,worth_every_Euro_spend,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,economic_price,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,not_expensive_price,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,great_value,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,right_price,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,right_performance,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,cheap_price,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,full_value_for_price,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,good_value_for_price,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,undervalue_establishment,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,cheap_room,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,satisfied_price,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,unbeatable_value_for_money,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,excellent_price,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,excellent_quality_ratio,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,perfect_price_for_what_we_expect,Yes
price,Contrary(N)Body(P),have_evident_unlabeled_shampoo_dispenser_for_this_price,CONTRARY_TO,excellent_value,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,great_quality,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,great_price,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,value_for_money,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,good_facility_for_tariff_charge,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,great_value_for_money,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,good_value_for_money,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,exceptional_value,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,good_value,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,reasonable_price,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,NOT_CONTRARY,beautiful_hotel_for_cheap_price,No
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,great_for_price,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,excellent_value_for_money,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,worth_price,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,cheap,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,good_rate_for_excellent_accommodation,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,good_hotel_for_ £50_per_night,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,room_excellent_value_for_money,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,NOT_CONTRARY,location_excellent_value_for_money,No
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,worth_every_Euro_spend,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,economic_price,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,not_expensive_price,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,great_value,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,right_price,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,right_performance,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,cheap_price,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,full_value_for_price,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,good_value_for_price,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,undervalue_establishment,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,cheap_room,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,satisfied_price,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,unbeatable_value_for_money,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,excellent_price,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,excellent_quality_ratio,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,perfect_price_for_what_we_expect,Yes
price,Contrary(N)Body(P),have_evident_shampoo_seem_cheap_considering_hotel_cost,CONTRARY_TO,excellent_value,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,great_quality,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,great_price,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,value_for_money,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,good_facility_for_tariff_charge,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,great_value_for_money,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,good_value_for_money,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,exceptional_value,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,good_value,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,reasonable_price,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,NOT_CONTRARY,beautiful_hotel_for_cheap_price,No
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,great_for_price,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,excellent_value_for_money,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,worth_price,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,cheap,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,good_rate_for_excellent_accommodation,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,good_hotel_for_ £50_per_night,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,room_excellent_value_for_money,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,NOT_CONTRARY,location_excellent_value_for_money,No
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,worth_every_Euro_spend,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,economic_price,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,not_expensive_price,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,great_value,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,right_price,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,right_performance,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,cheap_price,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,full_value_for_price,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,good_value_for_price,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,undervalue_establishment,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,cheap_room,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,satisfied_price,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,unbeatable_value_for_money,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,excellent_price,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,excellent_quality_ratio,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,perfect_price_for_what_we_expect,Yes
price,Contrary(N)Body(P),have_evident_guesthouse_but_price_like_hotel,CONTRARY_TO,excellent_value,Yes
price,Contrary(N)Body(P),have_evident_for_money_you_pay_you_get_one_small_water_bottle,CONTRARY_TO,great_quality,Yes
price,Contrary(N)Body(P),have_evident_for_money_you_pay_you_get_one_small_water_bottle,CONTRARY_TO,great_price,Yes
price,Contrary(N)Body(P),have_evident_for_money_you_pay_you_get_one_small_water_bottle,CONTRARY_TO,value_for_money,Yes
price,Contrary(N)Body(P),have_evident_for_money_you_pay_you_get_one_small_water_bottle,CONTRARY_TO,good_facility_for_tariff_charge,Yes
price,Contrary(N)Body(P),have_evident_for_money_you_pay_you_get_one_small_water_bottle,CONTRARY_TO,great_value_for_money,Yes
price,Contrary(N)Body(P),have_evident_for_money_you_pay_you_get_one_small_water_bottle,CONTRARY_TO,good_value_for_money,Yes
price,Contrary(N)Body(P),have_evident_for_money_you_pay_you_get_one_small_water_bottle,CONTRARY_TO,exceptional_value,Yes
price,Contrary(N)Body(P),have_evident_for_money_you_pay_you_get_one_small_water_bottle,CONTRARY_TO,good_value,Yes
price,Contrary(N)Body(P),have_evident_for_money_you_pay_you_get_one_small_water_bottle,CONTRARY_TO,reasonable_price,Yes
price,Contrary(N)Body(P),have_evident_for_money_you_pay_you_get_one_small_water_bottle,NOT_CONTRARY,beautiful_hotel_for_cheap_price,No
